Body;Speed (Ground);Speed (Water);Speed (Air);Speed (Anti-Gravity);Acceleration;Weight;Handling (Ground);Handling (Water);Handling (Air);Handling (Anti-Gravity);Traction;Mini-Turbo
Standard Kart;3;3;3;3;4;2;3;2;3;3;3;4
Pipe Frame;1;3;1;1;6;1;5;4;2;4;4;6
Mach 8;3;3;4;5;3;3;2;2;2;4;4;4
Steel Driver;4;5;0;2;1;4;1;5;1;1;3;2
Cat Cruiser;2;2;4;3;5;2;4;2;4;3;3;5
Circuit Special;5;1;2;4;1;3;1;1;0;2;1;1
Tri-Speeder;4;5;0;2;1;4;1;5;1;1;3;2
Badwagon;5;2;1;3;0;4;0;1;0;1;5;0
Prancer;4;3;3;3;2;1;3;3;3;2;2;3
Biddybuggy;0;1;1;2;7;0;5;4;4;5;4;7
Landship;1;5;2;0;6;0;4;5;3;2;6;6
Sneeker;4;2;3;3;2;2;3;2;2;3;0;3
Sports Coupe;3;3;4;5;3;3;2;2;2;4;4;4
Gold Standard;4;2;3;3;2;2;3;2;2;3;0;3
GLA;5;2;1;3;0;4;0;1;0;1;5;0
W 25 Silver Arrow;2;2;3;4;5;1;4;3;3;4;5;5
300 SL Roadster;3;3;3;3;4;2;3;2;3;3;3;4
Blue Falcon;4;2;3;4;3;0;2;3;1;5;3;3
Tanooki Kart;2;4;3;3;2;3;4;4;3;3;7;3
B Dasher;5;1;2;4;1;3;1;1;0;2;1;1
Streetle;1;5;2;0;6;0;4;5;3;2;6;6
P-Wing;5;1;2;4;1;3;1;1;0;2;1;1
Koopa Clown;2;4;3;3;2;3;4;4;3;3;7;3
Standard Bike;2;2;3;4;5;1;4;3;3;4;5;5
The Duke;3;3;3;3;4;2;3;2;3;3;3;4
Flame Rider;2;2;3;4;5;1;4;3;3;4;5;5
Varmint;1;3;1;1;6;1;5;4;2;4;4;6
Mr. Scooty;0;1;1;2;7;0;5;4;4;5;4;7
City Tripper;1;3;1;1;6;1;5;4;2;4;4;6
Comet;2;2;4;3;5;2;4;2;4;3;3;5
Sport Bike;4;3;3;3;2;1;3;3;3;2;2;3
Jet Bike;4;3;3;3;2;1;3;3;3;2;2;3
Yoshi Bike;2;2;4;3;5;2;4;2;4;3;3;5
Master Cycle;4;2;3;3;2;2;3;2;2;3;0;3
Standard ATV;5;2;1;3;0;4;0;1;0;1;5;0
Wild Wiggler;2;2;3;4;5;1;4;3;3;4;5;5
Teddy Buggy;2;2;4;3;5;2;4;2;4;3;3;5
Bone Rattler;4;5;0;2;1;4;1;5;1;1;3;2
Splat Buggy;4;2;3;4;3;0;2;3;1;5;3;3
Inkstriker;3;3;4;5;3;3;2;2;2;4;4;4
