Driver;Vehicle size;Speed (Ground);Speed (Water);Speed (Air);Speed (Anti-Gravity);Acceleration;Weight;Handling (Ground);Handling (Water);Handling (Air);Handling (Anti-Gravity);Traction;Mini-Turbo
Mario;Medium;6;6;6;6;2;6;4;4;4;4;2;2
Luigi;Medium;6;6;6;6;2;6;5;5;5;5;1;2
Peach;Medium;5;5;5;5;3;4;5;5;5;5;3;3
Daisy;Medium;5;5;5;5;3;4;5;5;5;5;3;3
Rosalina;Large;7;7;7;7;1;7;3;3;3;3;3;2
Tanooki Mario;Medium;5;5;5;5;3;5;5;5;5;5;1;3
Cat Peach;Medium;4;4;4;4;4;3;6;6;6;6;3;3
Yoshi;Medium;5;5;5;5;3;4;5;5;5;5;3;3
Toad;Small;3;3;3;3;4;3;7;7;7;7;4;3
Koopa;Small;2;2;2;2;4;2;8;8;8;8;5;4
Shy Guy;Small;3;3;3;3;4;3;7;7;7;7;4;3
Lakitu;Small;2;2;2;2;4;2;8;8;8;8;5;4
Toadette;Small;2;2;2;2;5;2;7;7;7;7;2;4
King Boo;Large;7;7;7;7;1;7;3;3;3;3;3;2
Baby Mario;Small;1;1;1;1;5;1;8;8;8;8;4;4
Baby Luigi;Small;1;1;1;1;5;1;8;8;8;8;4;4
Baby Peach;Small;0;0;0;0;4;0;10;10;10;10;5;5
Baby Daisy;Small;0;0;0;0;4;0;10;10;10;10;5;5
Baby Rosalina;Small;0;0;0;0;5;0;9;9;9;9;3;5
Metal Mario;Medium;8;8;8;8;1;10;3;3;3;3;1;1
Gold Mario;Medium;8;8;8;8;1;10;3;3;3;3;1;1
Pink Gold Peach;Medium;8;8;8;8;1;10;3;3;3;3;1;1
Wario;Large;10;10;10;10;0;9;1;1;1;1;1;0
Waluigi;Large;9;9;9;9;1;8;2;2;2;2;0;1
Donkey Kong;Large;9;9;9;9;1;8;2;2;2;2;0;1
Bowser;Large;10;10;10;10;0;10;0;0;0;0;0;0
Dry Bones;Small;1;1;1;1;5;1;8;8;8;8;4;4
Bowser Jr.;Small;2;2;2;2;4;2;8;8;8;8;5;4
Dry Bowser;Large;10;10;10;10;0;9;1;1;1;1;1;0
Lemmy;Small;0;0;0;0;5;0;9;9;9;9;3;5
Larry;Small;3;3;3;3;4;3;7;7;7;7;4;3
Wendy;Small;2;2;2;2;5;2;7;7;7;7;2;4
Ludwig;Medium;6;6;6;6;2;6;4;4;4;4;2;2
Iggy;Medium;6;6;6;6;2;6;5;5;5;5;1;2
Roy;Large;9;9;9;9;1;8;2;2;2;2;0;1
Morton;Large;10;10;10;10;0;10;0;0;0;0;0;0
Inkling Girl;Medium;4;4;4;4;4;3;6;6;6;6;3;3
Inkling Boy;Medium;5;5;5;5;3;5;5;5;5;5;1;3
Link;Large;7;7;7;7;1;7;3;3;3;3;3;2
Villager (Boy);Medium;5;5;5;5;3;5;5;5;5;5;1;3
Villager (Girl);Medium;4;4;4;4;4;3;6;6;6;6;3;3
Isabelle;Small;2;2;2;2;5;2;7;7;7;7;2;4
Mii (Light);Small;1;1;1;1;5;1;8;8;8;8;4;4
Mii (Medium);Medium;6;6;6;6;2;6;4;4;4;4;2;2
Mii (Heavy);Large;10;10;10;10;0;10;0;0;0;0;0;0
