Tire;Speed (Ground);Speed (Water);Speed (Air);Speed (Anti-Gravity);Acceleration;Weight;Handling (Ground);Handling (Water);Handling (Air);Handling (Anti-Gravity);Traction;Mini-Turbo
Standard;2;3;3;2;4;2;3;3;3;3;5;3
Monster;2;2;1;2;2;4;0;1;1;0;7;2
Roller;0;3;3;0;6;0;4;4;4;4;4;6
Slim;3;2;2;4;2;2;4;4;4;3;1;2
Slick;4;0;0;4;1;3;2;0;1;2;0;0
Metal;4;3;2;1;0;4;2;2;0;1;2;0
Button;1;2;2;2;5;0;3;3;2;4;3;5
Off-Road;3;4;1;2;3;3;1;1;2;2;6;1
Sponge;1;1;4;1;4;1;2;1;3;2;6;4
Wood;3;2;2;4;2;2;4;4;4;3;1;2
Cushion;1;1;4;1;4;1;2;1;3;2;6;4
Blue Standard;2;3;3;2;4;2;3;3;3;3;5;3
Hot Monster;2;2;1;2;2;4;0;1;1;0;7;2
Azure Roller;0;3;3;0;6;0;4;4;4;4;4;6
Crimson Slim;3;2;2;4;2;2;4;4;4;3;1;2
Cyber Slick;4;0;0;4;1;3;2;0;1;2;0;0
Retro Off-Road;3;4;1;2;3;3;1;1;2;2;6;1
Gold Tires;4;3;2;1;0;4;2;2;0;1;2;0
GLA Tires;2;3;3;2;4;2;3;3;3;3;5;3
Triforce Tires;3;4;1;2;3;3;1;1;2;2;6;1
Leaf Tires;1;2;2;2;5;0;3;3;2;4;3;5
